MoM Simulation Results
Geometry file: FordCar/FordCarWithoutTai.msh
Geometry format: msh
Frequency: 1.000000e+08 Hz
Tolerance: 1.000000e-06
Max iterations: 100
Mesh density: 3 elements/wavelength
Surface mesh: 4326 triangles (this determines 3D surface current plot points)

Basis functions: 4326
Iterations: 1
Converged: Yes

Current distribution (per basis function):
Index, Re(J), Im(J), |J|, Phase_deg
0, -2.477292352510e-04, -1.245244793227e-03, 1.269647340429e-03, -101.251533
1, 5.937021519569e-05, -2.708256037613e-03, 2.708906714474e-03, -88.744167
2, -1.287875016630e-04, -1.564658574369e-02, 1.564711576155e-02, -90.471593
3, 2.932204582586e-04, -9.219056937963e-03, 9.223718830415e-03, -88.178270
4, 4.561856285043e-05, -1.245007553400e-03, 1.245843032368e-03, -87.901553
5, -1.142163817031e-03, -5.855592607741e-03, 5.965945270681e-03, -101.037256
6, 2.372779362136e-04, 5.748611140305e-04, 6.219052334868e-04, 67.571271
7, -5.275398226252e-06, 1.609125037629e-04, 1.609989555670e-04, 91.877728
8, 1.476376036668e-04, -1.224750684038e-04, 1.918254529436e-04, -39.677931
9, 6.634079829964e-04, -2.542289154137e-04, 7.104523160183e-04, -20.967659
10, 1.679673971728e-03, -5.147196146337e-03, 5.414326626661e-03, -71.927048
11, 7.850375275308e-05, -9.107733701621e-05, 1.202410932846e-04, -49.240434
12, -3.033280806140e-04, -2.781780682972e-04, 4.115713330281e-04, -137.476486
13, -4.499315671012e-04, -1.018353783370e-03, 1.113320638082e-03, -113.836918
14, 4.085670810363e-04, -4.093069316696e-05, 4.106122031183e-04, -5.720866
15, -5.492290894405e-04, -1.635620829432e-04, 5.730664426263e-04, -163.416309
16, 2.636984328662e-04, -5.320898184103e-04, 5.938488345968e-04, -63.637441
17, -3.653176714499e-04, -4.110357333194e-04, 5.499157891341e-04, -131.629846
18, 1.035953753619e-04, -1.724826766940e-04, 2.012020764204e-04, -59.010416
19, -2.791433117681e-04, 7.294436563448e-05, 2.885166701989e-04, 165.355227
20, 2.542447980459e-04, -3.235299827839e-04, 4.114754756891e-04, -51.838102
21, 4.576148394811e-04, -4.203166149725e-04, 6.213512679115e-04, -42.567297
22, 8.253290832452e-05, -1.265325284386e-04, 1.510700556350e-04, -56.884943
23, -3.300056696500e-04, 3.674343365683e-05, 3.320449094897e-04, 173.646751
24, 3.163814032424e-04, -2.395957295050e-04, 3.968668616988e-04, -37.136658
25, 1.625114354384e-04, -6.477882538646e-04, 6.678619531709e-04, -75.916785
26, -4.556386745206e-05, -4.133452542072e-04, 4.158489692098e-04, -96.290431
27, 2.835912136160e-04, -3.359736275518e-04, 4.396615230499e-04, -49.832699
28, -2.971008044735e-05, -1.181480141948e-03, 1.181853635058e-03, -91.440484
29, -1.711640889432e-04, -1.388723798842e-03, 1.399232266214e-03, -97.026428
30, 1.355345772985e-04, -1.401069464356e-04, 1.949348046989e-04, -45.950341
31, -1.172592613549e-04, -4.177561397346e-04, 4.339008258340e-04, -105.678810
32, -2.126538327857e-04, -3.336799182773e-04, 3.956816150139e-04, -122.509316
33, -2.550088693839e-04, -4.259387807516e-04, 4.964406997947e-04, -120.908890
34, -1.759311465286e-04, -8.677658561075e-05, 1.961681526883e-04, -153.745561
35, 7.777269109062e-05, -2.171203232425e-05, 8.074654065115e-05, -15.598296
36, -7.265230431374e-04, -4.341797577975e-05, 7.278192446139e-04, -176.579996
37, 1.182358247461e-04, -5.767574221509e-05, 1.315530368082e-04, -26.003240
38, -1.341563902648e-04, 4.188347495403e-04, 4.397959577706e-04, 107.760711
39, 8.639691194809e-04, -4.147639770589e-04, 9.583693422071e-04, -25.644175
40, 2.311097819407e-05, 2.374947951883e-05, 3.313842317465e-05, 45.780640
41, 8.160812834749e-05, 2.130959501160e-05, 8.434444529392e-05, 14.634361
42, -1.767036838645e-04, -1.118338801961e-04, 2.091196036984e-04, -147.670716
43, -2.211615208306e-04, 6.064506568452e-05, 2.293256250138e-04, 164.665751
44, 4.577842910509e-05, -5.896975044292e-05, 7.465317165821e-05, -52.177682
45, 5.419239889591e-05, -1.820894723923e-05, 5.716976349133e-05, -18.572635
46, 6.475333964393e-06, -1.147179089418e-04, 1.149005160212e-04, -86.769327
47, 5.277499323827e-05, 1.149585493383e-05, 5.401254106186e-05, 12.288646
48, 1.649701973919e-04, -4.650785989431e-05, 1.714005456802e-04, -15.744033
49, 8.073385018208e-04, 6.856108698565e-05, 8.102444564271e-04, 4.854046
50, 3.024599267082e-05, 3.876090829465e-05, 4.916531383475e-05, 52.034297
51, -2.458843739123e-04, 7.346768901123e-05, 2.566254598883e-04, 163.364403
52, 5.996703711198e-05, 4.593530557511e-05, 7.553871747832e-05, 37.452449
53, -2.067770494986e-05, 3.843001461691e-05, 4.363981559825e-05, 118.282977
54, -6.256699583952e-04, 1.811391505690e-04, 6.513634075592e-04, 163.853620
55, -3.065848205717e-04, -1.653312611729e-04, 3.483226638133e-04, -151.663453
56, 1.279637716918e-04, 7.692709761669e-05, 1.493067487200e-04, 31.012732
57, -3.421091566553e-04, -4.160343965385e-05, 3.446295420570e-04, -173.066382
58, 1.544386382235e-04, -8.566987200390e-05, 1.766086632799e-04, -29.017915
59, 2.195883658977e-04, 2.772133484425e-05, 2.213312513929e-04, 7.195088
60, -4.352873452041e-04, -8.833774463250e-04, 9.847998708218e-04, -116.231935
61, -1.477388773904e-04, -1.031826998495e-04, 1.802038996271e-04, -145.069065
62, -1.976299960790e-04, 3.659030453936e-04, 4.158637444867e-04, 118.374181
63, 1.069832317579e-04, 2.780512695028e-05, 1.105374912059e-04, 14.568942
64, -1.019103935354e-03, -4.594886706257e-04, 1.117901010594e-03, -155.730568
