MoM Simulation Results
Geometry file: FordCar/FordCar.msh
Geometry format: msh
Frequency: 1.000000e+08 Hz
Tolerance: 1.000000e-06
Max iterations: 100
Mesh density: 3 elements/wavelength
Surface mesh: 4360 triangles (this determines 3D surface current plot points)

Basis functions: 4360
Iterations: 1
Converged: Yes

Current distribution (per basis function):
Index, Re(J), Im(J), |J|, Phase_deg
0, 1.195504977408e-03, -3.449174139077e-03, 3.650484131274e-03, -70.883369
1, 1.932782838888e-03, -1.065900009632e-02, 1.083281738772e-02, -79.722303
2, 3.334363082804e-03, -1.470367439498e-02, 1.507700294759e-02, -77.223086
3, -2.765311568964e-03, -2.964253208290e-02, 2.977123874412e-02, -95.329620
4, 1.598781196982e-03, -6.360031502720e-03, 6.557903783330e-03, -75.889393
5, -2.903680137151e-03, -9.192888348914e-03, 9.640568164506e-03, -107.529324
6, 8.870184574166e-04, -1.075882899895e-02, 1.079533247160e-02, -85.286873
7, -4.575486278476e-04, -2.112588332744e-02, 2.113083758661e-02, -91.240730
8, 1.379299565647e-03, -2.996745237820e-03, 3.298931540998e-03, -65.284998
9, 1.305609598166e-03, -4.500227988162e-02, 4.502121512095e-02, -88.338197
10, -1.659170946822e-03, -1.885981994361e-03, 2.511926812993e-03, -131.339332
11, 4.992179408191e-05, -2.570084077755e-03, 2.570568877166e-03, -88.887216
12, -2.610437420071e-03, -2.023427470365e-02, 2.040196697151e-02, -97.351163
13, 4.872135948434e-04, -3.958799644736e-03, 3.988667912244e-03, -82.983830
14, 3.586868566904e-03, -1.675610857421e-02, 1.713571710396e-02, -77.917425
15, 1.051284369901e-03, -2.908110113637e-03, 3.092297407986e-03, -70.125032
16, -1.909953155656e-05, 2.959308235800e-05, 3.522133769645e-05, 122.838412
17, -7.215897447586e-03, -1.144771079779e-02, 1.353215646096e-02, -122.224683
18, 7.262722667497e-04, -5.869823916998e-03, 5.914584027809e-03, -82.946651
19, 3.808592438630e-05, 6.467373254402e-05, 7.505484206588e-05, 59.506456
20, -1.578057795418e-03, -5.321537661521e-03, 5.550588211052e-03, -106.517286
21, -1.298243149242e-03, -2.503934956846e-03, 2.820483210847e-03, -117.405889
22, 8.025124376680e-06, -1.359049467998e-04, 1.361416805608e-04, -86.620635
23, -4.493201614903e-04, 5.840508396996e-04, 7.368880450078e-04, 127.571691
24, -2.572754008501e-04, -6.875125458080e-04, 7.340736560632e-04, -110.516449
25, 2.273821103599e-05, -1.011920956553e-04, 1.037153145115e-04, -77.335791
26, -5.554748859587e-05, 1.272750810263e-04, 1.388685340153e-04, 113.578212
27, -1.062310851163e-02, 2.286072446984e-04, 1.062556801880e-02, 178.767196
28, -2.340329243508e-03, -5.717997522231e-03, 6.178400815118e-03, -112.258881
29, -3.202762688127e-04, -4.798761441003e-05, 3.238513540212e-04, -171.478652
30, -1.055027094631e-05, 6.544767643378e-05, 6.629258305135e-05, 99.157393
31, 6.493905750957e-06, -2.612316085397e-05, 2.691821585664e-05, -76.039922
32, -4.755648019674e-05, -6.556902636678e-05, 8.099948164890e-05, -125.952956
33, 5.239178242092e-05, -1.647660173159e-04, 1.728951686062e-04, -72.360540
34, 7.981152538797e-05, 2.323095775756e-05, 8.312374500158e-05, 16.228837
35, -2.094613999591e-04, 1.431072293376e-04, 2.536804232918e-04, 145.658514
36, 1.663877256903e-04, 7.780352860106e-06, 1.665695324812e-04, 2.677222
37, 2.734825419359e-06, -5.473834026392e-06, 6.118997387061e-06, -63.452466
38, -2.059943905735e-05, 5.385406773312e-05, 5.765932275774e-05, 110.932092
39, 7.190380000885e-04, 8.474427219544e-04, 1.111384187653e-03, 49.686069
40, -5.629615979094e-04, 3.518444334695e-04, 6.638676570554e-04, 147.995097
41, 5.597425538358e-04, -7.316538013453e-04, 9.212106228206e-04, -52.582658
42, 3.669413439413e-05, -1.323759726236e-04, 1.373676003539e-04, -74.506821
43, -1.428923031837e-04, -6.289329338383e-05, 1.561210320931e-04, -156.243559
44, -2.631383238218e-04, -3.293177663065e-04, 4.215352519883e-04, -128.626281
45, -3.611979671499e-04, -1.565900799304e-03, 1.607018756809e-03, -102.988928
46, 1.182879252390e-03, 7.143513932407e-05, 1.185034305353e-03, 3.455946
47, -1.655795069270e-05, 6.392128443946e-05, 6.603102555263e-05, 104.522499
48, -1.395113994737e-04, -2.573379193855e-04, 2.927221128250e-04, -118.463586
49, -4.379643362265e-04, 2.886120190741e-04, 5.245089678550e-04, 146.615709
50, 1.145077663405e-04, 1.793072377061e-04, 2.127512962265e-04, 57.437207
51, 5.093909131857e-05, 4.116962644605e-06, 5.110518961690e-05, 4.620675
52, 1.221876891539e-04, 1.133489816564e-04, 1.666668024032e-04, 42.850937
53, 1.697375353681e-04, 2.026372742849e-04, 2.643344393802e-04, 50.049037
54, -7.718539303838e-04, -1.605018802342e-04, 7.883649810891e-04, -168.253129
55, -4.272794656632e-05, -3.102759636965e-05, 5.280520006829e-05, -144.014110
56, -1.217036944091e-04, -2.073217588944e-04, 2.404040368711e-04, -120.414131
57, 4.277650656647e-04, -8.356949422358e-04, 9.388125413956e-04, -62.893570
58, -2.670612262240e-04, -2.218892290947e-07, 2.670613184029e-04, -179.952396
