basis_index,Re_J,Im_J,magnitude_J,phase_deg
0,3.135336550369e-02,-1.699933630978e-02,3.566526269889e-02,-28.465902
1,6.235591303911e-03,-4.704652517532e-02,4.745796171330e-02,-82.449968
2,-8.975634547765e-03,1.282521429203e-03,9.066800800249e-03,171.868096
3,3.616766736596e-04,9.961674186845e-04,1.059792216577e-03,70.045652
4,-1.053703442806e-02,-3.157524531878e-03,1.099995707753e-02,-163.318646
5,-1.926066948182e-02,7.964876135270e-03,2.084256799768e-02,157.533409
6,4.331442606879e-04,-1.112765698469e-02,1.113608386820e-02,-87.770886
7,-1.953317220367e-02,7.691209225089e-03,2.099284439237e-02,158.507902
8,-1.266293999708e-02,1.954233392823e-02,2.328632355551e-02,122.942221
9,-3.503955823884e-02,7.308659668181e-03,3.579367468867e-02,168.217996
10,-7.214632331224e-03,-1.082159554912e-03,7.295340223528e-03,-171.469509
11,5.282920922436e-03,1.383188523853e-02,1.480642775029e-02,69.096249
12,-3.385006305901e-02,-3.811311678859e-03,3.406395258646e-02,-173.575899
13,-3.835804159271e-04,-4.398313354850e-03,4.415007848570e-03,-94.984200
14,-2.988806314665e-02,-4.892989370313e-03,3.028593177758e-02,-170.702555
15,9.085354994852e-03,3.092648520715e-04,9.090617147984e-03,1.949592
16,-2.190689225020e-03,9.715279573035e-03,9.959205614046e-03,102.707051
17,8.691116611215e-03,2.283465214096e-04,8.694115831042e-03,1.505018
18,3.317455420996e-03,-3.353802958384e-03,4.717362054577e-03,-45.312166
19,-1.112118941391e-03,7.790383868055e-03,7.869363973756e-03,98.124386
20,3.333875678466e-03,-2.666949673736e-03,4.269349786760e-03,-38.658227
21,1.019990906743e-02,-1.291165983774e-02,1.645445546803e-02,-51.692090
22,-7.727076775693e-03,2.469072380892e-02,2.587159750974e-02,107.377753
23,8.119657114016e-04,9.261980598220e-03,9.297503585280e-03,84.989886
24,3.197186877725e-03,2.835843316310e-03,4.273641450304e-03,41.572409
25,1.691254577293e-02,-2.064452733423e-03,1.703807998602e-02,-6.959457
26,1.779325780197e-04,-9.882159217816e-03,9.883760964764e-03,-88.968476
27,2.839875364028e-02,2.708985505994e-02,3.924728596336e-02,43.648723
28,-6.969226175173e-03,6.465611924669e-04,6.999153867170e-03,174.699628
29,-5.842005577017e-03,-4.913928835231e-03,7.633853925745e-03,-139.931557
30,2.551563557109e-02,8.250139321774e-03,2.681627225073e-02,17.917920
31,2.244426939375e-02,3.440562135596e-03,2.270644614263e-02,8.715231
32,-5.858582338359e-03,-1.281091928088e-02,1.408696702050e-02,-114.575169
33,3.388137842999e-03,-7.146436867747e-03,7.908921414949e-03,-64.634291
34,8.859144362198e-04,6.127854945732e-03,6.191562857973e-03,81.773648
35,1.156447318571e-02,-2.457154884361e-03,1.182263296346e-02,-11.995498
36,-4.670518572559e-03,-4.769838255697e-03,6.675709754186e-03,-134.397227
37,-7.656660593516e-03,1.045563205852e-02,1.295934771458e-02,126.215322
38,-4.950324164059e-03,1.607022446592e-02,1.681540435774e-02,107.121096
39,-3.913627325318e-03,-4.449966880496e-03,5.926101929514e-03,-131.330767
