point_index,x,y,z,abs_E,abs_H
0,-5.000000e-01,-5.000000e-01,1.000000e-01,1.781750e+02,3.061377e-01
1,-4.750000e-01,-5.000000e-01,1.000000e-01,1.806942e+02,3.153395e-01
2,-4.500000e-01,-5.000000e-01,1.000000e-01,1.830404e+02,3.242671e-01
3,-4.250000e-01,-5.000000e-01,1.000000e-01,1.852137e+02,3.329248e-01
4,-4.000000e-01,-5.000000e-01,1.000000e-01,1.872150e+02,3.413171e-01
5,-3.750000e-01,-5.000000e-01,1.000000e-01,1.890453e+02,3.494483e-01
6,-3.500000e-01,-5.000000e-01,1.000000e-01,1.907065e+02,3.573232e-01
7,-3.250000e-01,-5.000000e-01,1.000000e-01,1.922007e+02,3.649464e-01
8,-3.000000e-01,-5.000000e-01,1.000000e-01,1.935306e+02,3.723224e-01
9,-2.750000e-01,-5.000000e-01,1.000000e-01,1.946994e+02,3.794560e-01
10,-2.500000e-01,-5.000000e-01,1.000000e-01,1.957107e+02,3.863518e-01
11,-2.250000e-01,-5.000000e-01,1.000000e-01,1.965686e+02,3.930143e-01
12,-2.000000e-01,-5.000000e-01,1.000000e-01,1.972776e+02,3.994479e-01
13,-1.750000e-01,-5.000000e-01,1.000000e-01,1.978429e+02,4.056570e-01
14,-1.500000e-01,-5.000000e-01,1.000000e-01,1.982700e+02,4.116458e-01
15,-1.250000e-01,-5.000000e-01,1.000000e-01,1.985648e+02,4.174184e-01
16,-1.000000e-01,-5.000000e-01,1.000000e-01,1.987337e+02,4.229786e-01
17,-7.500000e-02,-5.000000e-01,1.000000e-01,1.987837e+02,4.283300e-01
18,-5.000000e-02,-5.000000e-01,1.000000e-01,1.987221e+02,4.334762e-01
19,-2.500000e-02,-5.000000e-01,1.000000e-01,1.985566e+02,4.384204e-01
20,0.000000e+00,-5.000000e-01,1.000000e-01,1.982954e+02,4.431654e-01
21,2.500000e-02,-5.000000e-01,1.000000e-01,1.979473e+02,4.477139e-01
22,5.000000e-02,-5.000000e-01,1.000000e-01,1.975211e+02,4.520684e-01
23,7.500000e-02,-5.000000e-01,1.000000e-01,1.970262e+02,4.562309e-01
24,1.000000e-01,-5.000000e-01,1.000000e-01,1.964723e+02,4.602032e-01
25,1.250000e-01,-5.000000e-01,1.000000e-01,1.958695e+02,4.639867e-01
26,1.500000e-01,-5.000000e-01,1.000000e-01,1.952279e+02,4.675825e-01
27,1.750000e-01,-5.000000e-01,1.000000e-01,1.945580e+02,4.709914e-01
28,2.000000e-01,-5.000000e-01,1.000000e-01,1.938705e+02,4.742139e-01
29,2.250000e-01,-5.000000e-01,1.000000e-01,1.931761e+02,4.772499e-01
30,2.500000e-01,-5.000000e-01,1.000000e-01,1.924856e+02,4.800993e-01
31,2.750000e-01,-5.000000e-01,1.000000e-01,1.918095e+02,4.827613e-01
32,3.000000e-01,-5.000000e-01,1.000000e-01,1.911584e+02,4.852350e-01
33,3.250000e-01,-5.000000e-01,1.000000e-01,1.905427e+02,4.875191e-01
34,3.500000e-01,-5.000000e-01,1.000000e-01,1.899723e+02,4.896118e-01
35,3.750000e-01,-5.000000e-01,1.000000e-01,1.894567e+02,4.915111e-01
36,4.000000e-01,-5.000000e-01,1.000000e-01,1.890050e+02,4.932146e-01
37,4.250000e-01,-5.000000e-01,1.000000e-01,1.886255e+02,4.947197e-01
38,4.500000e-01,-5.000000e-01,1.000000e-01,1.883257e+02,4.960232e-01
39,4.750000e-01,-5.000000e-01,1.000000e-01,1.881126e+02,4.971218e-01
40,5.000000e-01,-5.000000e-01,1.000000e-01,1.879918e+02,4.980119e-01
41,-5.000000e-01,-4.750000e-01,1.000000e-01,1.767367e+02,2.949683e-01
42,-4.750000e-01,-4.750000e-01,1.000000e-01,1.792698e+02,3.043342e-01
43,-4.500000e-01,-4.750000e-01,1.000000e-01,1.816344e+02,3.134400e-01
44,-4.250000e-01,-4.750000e-01,1.000000e-01,1.838304e+02,3.222897e-01
45,-4.000000e-01,-4.750000e-01,1.000000e-01,1.858585e+02,3.308875e-01
46,-3.750000e-01,-4.750000e-01,1.000000e-01,1.877197e+02,3.392376e-01
47,-3.500000e-01,-4.750000e-01,1.000000e-01,1.894157e+02,3.473443e-01
48,-3.250000e-01,-4.750000e-01,1.000000e-01,1.909486e+02,3.552120e-01
49,-3.000000e-01,-4.750000e-01,1.000000e-01,1.923210e+02,3.628451e-01
50,-2.750000e-01,-4.750000e-01,1.000000e-01,1.935360e+02,3.702478e-01
51,-2.500000e-01,-4.750000e-01,1.000000e-01,1.945971e+02,3.774245e-01
52,-2.250000e-01,-4.750000e-01,1.000000e-01,1.955084e+02,3.843793e-01
53,-2.000000e-01,-4.750000e-01,1.000000e-01,1.962744e+02,3.911163e-01
54,-1.750000e-01,-4.750000e-01,1.000000e-01,1.969000e+02,3.976396e-01
55,-1.500000e-01,-4.750000e-01,1.000000e-01,1.973906e+02,4.039529e-01
56,-1.250000e-01,-4.750000e-01,1.000000e-01,1.977523e+02,4.100600e-01
57,-1.000000e-01,-4.750000e-01,1.000000e-01,1.979913e+02,4.159642e-01
58,-7.500000e-02,-4.750000e-01,1.000000e-01,1.981144e+02,4.216690e-01
59,-5.000000e-02,-4.750000e-01,1.000000e-01,1.981288e+02,4.271772e-01
60,-2.500000e-02,-4.750000e-01,1.000000e-01,1.980423e+02,4.324918e-01
61,0.000000e+00,-4.750000e-01,1.000000e-01,1.978628e+02,4.376151e-01
62,2.500000e-02,-4.750000e-01,1.000000e-01,1.975988e+02,4.425495e-01
63,5.000000e-02,-4.750000e-01,1.000000e-01,1.972592e+02,4.472969e-01
64,7.500000e-02,-4.750000e-01,1.000000e-01,1.968531e+02,4.518590e-01
65,1.000000e-01,-4.750000e-01,1.000000e-01,1.963900e+02,4.562370e-01
66,1.250000e-01,-4.750000e-01,1.000000e-01,1.958797e+02,4.604319e-01
67,1.500000e-01,-4.750000e-01,1.000000e-01,1.953322e+02,4.644444e-01
68,1.750000e-01,-4.750000e-01,1.000000e-01,1.947576e+02,4.682748e-01
69,2.000000e-01,-4.750000e-01,1.000000e-01,1.941662e+02,4.719230e-01
70,2.250000e-01,-4.750000e-01,1.000000e-01,1.935684e+02,4.753887e-01
71,2.500000e-01,-4.750000e-01,1.000000e-01,1.929746e+02,4.786711e-01
