element_index,cx,cy,cz,Re_J,Im_J,magnitude_J
0,9.769026202780e+01,3.982581002067e+01,-4.437628058614e+01,-2.477292352510e-04,-1.245244793227e-03,1.269647340429e-03
1,9.617971752441e+01,4.133839482941e+01,-4.648168356256e+01,5.937021519569e-05,-2.708256037613e-03,2.708906714474e-03
2,9.259797668615e+01,4.185776277739e+01,-4.866771817720e+01,-1.287875016630e-04,-1.564658574369e-02,1.564711576155e-02
3,9.438884710528e+01,4.042737064724e+01,-4.840023105739e+01,2.932204582586e-04,-9.219056937963e-03,9.223718830415e-03
4,9.438884710528e+01,4.325694232425e+01,-4.557065938039e+01,4.561856285043e-05,-1.245007553400e-03,1.245843032368e-03
5,9.259797668615e+01,4.352442944405e+01,-4.700105151053e+01,-1.142163817031e-03,-5.855592607741e-03,5.965945270681e-03
6,9.342850655608e+01,1.707265246631e+01,-4.876442892727e+01,2.372779362136e-04,5.748611140305e-04,6.219052334868e-04
7,9.831213719986e+01,3.057658029819e+01,-4.388014061479e+01,-5.275398226252e-06,1.609125037629e-04,1.609989555670e-04
8,9.331213719986e+01,3.261924963533e+01,-4.888014061479e+01,1.476376036668e-04,-1.224750684038e-04,1.918254529436e-04
9,9.510300761899e+01,3.734884524992e+01,-4.812449813029e+01,6.634079829964e-04,-2.542289154137e-04,7.104523160183e-04
10,9.515419190006e+01,1.112532574310e+01,-4.807328990138e+01,1.679673971728e-03,-5.147196146337e-03,5.414326626661e-03
11,9.581213719986e+01,2.642843718877e+01,-4.638014061479e+01,7.850375275308e-05,-9.107733701621e-05,1.202410932846e-04
12,9.592850655597e+01,2.084479290526e+01,-4.626442892727e+01,-3.033280806140e-04,-2.781780682972e-04,4.115713330281e-04
13,9.760300761899e+01,3.651551191659e+01,-4.562449813029e+01,-4.499315671012e-04,-1.018353783370e-03,1.113320638082e-03
14,9.842850655597e+01,1.427797778823e+01,-4.376442892727e+01,4.085670810363e-04,-4.093069316696e-05,4.106122031183e-04
15,9.765419189995e+01,9.539987068822e+00,-4.557328990138e+01,-5.492290894405e-04,-1.635620829432e-04,5.730664426263e-04
16,9.326701609428e+01,4.437066690005e+01,-3.609447041596e+01,2.636984328662e-04,-5.320898184103e-04,5.938488345968e-04
