point_index,x,y,z,abs_E,abs_H
0,-5.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
1,-4.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
2,-4.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
3,-3.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
4,-3.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
5,-2.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
6,-2.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
7,-1.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
8,-1.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
9,-5.000000e-02,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
10,0.000000e+00,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
11,5.000000e-02,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
12,1.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
13,1.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
14,2.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
15,2.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
16,3.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
17,3.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
18,4.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
19,4.500000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
20,5.000000e-01,0.000000e+00,1.000000e-01,0.000000e+00,0.000000e+00
