;Aorta;Bladder;Blood;Bone (Cancellous);Bone (Cortical);Marrow (Infiltrated);Marrow (Not Inf.);Brain (Grey);Brain (White);Breast fat;Cartilage;Cerebellum;Cerebro Spinal Fluid;Cervix;Colon;Cornea;Dura;Eye Tissues (Sclera);Fat (Average Inf.);Fat (Not Inf.);Gall Bladder;Gall Bladder Bile;Heart;Kidney;Lens Cortex;Lens Nucleus;Liver;Lung (Deflated);Lung (Inflated);Muscle;Nerve;Ovary;Skin (Dry);Skin (Wet);Small Intestine;Spleen;Stomach;Tendon;Testis;Thyroid;Tongue;Trachea;Uterus;Vitreous Humor;
Adrenals                ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Blood vessels           ;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bone cortical           ;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bone medullary cavity   ;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bone spongiosa          ;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brain                   ;;;;;;;;0.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Breast glandular tissue ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;
Bronchi                 ;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cartilage               ;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colon contents          ;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Colon wall              ;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eye bulb                ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;
Eye lens                ;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;
Fat                     ;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;;
Gall bladder contents   ;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;
Gall bladder            ;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;;;
Heart                   ;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;
Kidney cortex           ;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;
Kidney medulla          ;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;
Kidney pelvis           ;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;
Liver                   ;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;
Lung                    ;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;0.5;;;;;;;;;;;;;;;;
Lung deflated           ;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;
Lung inflated           ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.0;;;;;;;;;;;;;;;;
