//	DATA WITHOUT WARRANTY	D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. Available: http://niremf.ifac.cnr.it/tissprop/
//
//	VALUES MUST BE DELIVERED IN THE UNITS GIVEN BELOW
//
Tissue                  	Rho    	K      	HeatCap 	BldFlow 	Metabol 	epsInf	deltaEps1	tau1   	alpha1	deltaEps2	tau2    	alpha2	sigmaIon	deltaEps3	tau3    	alpha3	deltaEps4	tau4   	alpha4
                        	[kg/m3]	[W/m K]	[J/kg K]	[W/m3 K]	[W/m3]  	      	         	[ps]   	      	         	[ns]    	      	        	         	[mus]   	      	         	[ms]   	
//
Adrenals                	1025   	0.4    	3600    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Blood                   	1050	0.5 	3800    	1.00E+06	0       	4.000 	56.00    	8.377  	0.100 	5200     	132.629 	0.100 	0.700   	0.00E+0  	159.155 	0.200 	0.00E+0  	15.915 	0.000
Bone cortical           	2000	0.4 	1300    	3.00E+03	6.00E+02	2.500 	10.00    	13.263 	0.200 	180      	79.577  	0.200 	0.020   	5.00E+3  	159.155 	0.200 	1.00E+5  	15.915 	0.000
Bone medullary cavity   	1000	0.2 	2700    	3.00E+04	6.00E+03	2.500 	18.00    	13.263 	0.220 	300      	79.577  	0.250 	0.070   	2.00E+4  	159.155 	0.200 	2.00E+7  	15.915 	0.000
Bone spongiosa          	1200	0.4 	1300    	3.00E+03	6.00E+02	2.500 	18.00    	13.263 	0.220 	300      	79.577  	0.250 	0.070   	2.00E+4  	159.155 	0.200 	2.00E+7  	15.915 	0.000
Brain                   	1045	0.5 	3700    	4.00E+04	7.00E+03	4     	38.5     	7.958  	0.1   	250      	11.9365 	0.125 	0.02    	120000   	79.5775 	0.26  	40000000 	6.6315 	0.01
Breast glandular tissue 	1040	0.6 	3600    	4.00E+05	6.00E+04	4.000 	55.00    	7.958  	0.100 	2500     	159.155 	0.100 	0.500   	1.00E+5  	159.155 	0.200 	4.00E+7  	15.915 	0.000
Bronchi                 	1060	0.5 	3500    	9.00E+03	2.00E+03	4.000 	40.00    	8.842  	0.100 	50       	3.183   	0.100 	0.250   	1.00E+5  	159.155 	0.200 	1.00E+7  	1.592  	0.000
