// Frequency: 900 MHz
//
// FOR OTHER FREQUENCIES or broadband properties, use "Adjust tissues to frequency" or run the
// macro Define Human Material Properties!
//
// DATA WITHOUT WARRANTY
// 
// Tissue properties published in literature have a broad deviation. Depending on the purpose, 
// values have to be appropriately considered, i.e. for conservativeness, wet/dry skin, age 
// dependency, etc. 
// Also the actual geometrical representation of the biological voxel/CAD model has to be 
// taken into account when choosing the tissue properties. 
// The following values are to be regarded as exemplary and without warranty.
// 
// D.Andreuccetti, R.Fossi and C.Petrucci: An Internet resource for the calculation of the 
// dielectric properties of body tissues in the frequency range 10 Hz - 100 GHz. IFAC-CNR, 
// Florence (Italy), 1997. Based on data published by C.Gabriel et al. in 1996. [Online]. 
// Available: http://niremf.ifac.cnr.it/tissprop/
// 
// Bronchi as Trachea, Lung avg defl/infl, Skin avg wet/dry, Ureter as Blood Vessel
// For further information see Online Help
//
### Version 2009 ###
//
// Tissue               	Num	Eps 	Mu	Kappa 	Rho 	K     	HeatCap	BldFlow	Metabol	R	G	B
//                      	 	      	 	[S/m] 	[kg/m3]	[W/mK]	[J/gK]	[W/m3K]	[W/m^3]			
//
Adrenals                	1	59.68	1	1.038	1025	0.40	3.60	4E+05	6E+04	0	255	20
Blood                   	2	61.36	1	1.538	1050	0.50	3.80	1E+06	0    	255	0	0
Bone cortical           	3	12.45	1	0.143	2000	0.40	1.30	3E+03	6E+02	220	220	220
Bone medullary cavity   	4	20.79	1	0.340	1000	0.20	2.70	3E+04	6E+03	210	220	240
Bone spongiosa          	5	20.79	1	0.340	1200	0.40	1.30	3E+03	6E+02	200	220	240
Brain                   	6	45.81	1	0.767	1045	0.50	3.70	4E+04	7E+03	140	140	140
Breast glandular tissue 	7	59.68	1	1.038	1040	0.60	3.60	4E+04	7E+03	255	128	255
Bronchi                 	8	42.01	1	0.771	1060	0.50	3.50	9E+03	2E+03	0	255	40
Cartilage               	9	42.65	1	0.782	1100	0.60	3.50	9E+03	2E+03	240	240	200
Colon contents          	10	57.94	1	1.080	1060	0.60	3.60	0    	0    	180	120	0
Colon wall              	11	57.94	1	1.080	1060	0.60	3.60	5E+04	9E+03	180	90	0
Eye bulb                	12	68.90	1	1.636	1010	0.60	3.90	0    	0    	240	240	220
Eye lens                	13	46.57	1	0.793	1090	0.40	3.70	0    	0    	0	255	255
Fat                     	14	 5.46	1	0.051	 900	0.20	2.50	2E+03	3E+02	255	200	100
Gall bladder contents   	15	70.19	1	1.838	1010	0.60	3.90	0    	0    	100	255	100
Gall bladder            	16	59.14	1	1.257	1050	0.60	3.90	9E+03	2E+03	40	255	0
Heart                   	17	59.89	1	1.230	1080	0.50	3.70	5E+04	1E+04	220	0	0
Kidney cortex           	18	58.67	1	1.392	1050	0.50	3.90	3E+05	5E+04	128	0	255
Kidney medulla          	19	58.67	1	1.392	1040	0.50	3.90	3E+05	5E+04	128	80	255
Kidney pelvis           	20	58.67	1	1.392	1050	0.50	3.90	3E+05	5E+04	90	60	255
Liver                   	21	46.83	1	0.855	1050	0.50	3.60	7E+04	1E+04	128	64	32
Lung                    	22	36.71	1	0.657	 800	0.60	3.60	9E+03	2E+03	64	192	255
Lymphatic nodes         	23	59.68	1	1.038	1030	0.40	3.10	4E+04	7E+03	200	255	0
Mucosa                  	24	46.08	1	0.845	1070	0.30	3.10	9E+03	2E+03	120	180	0
Muscle                  	25	55.03	1	0.943	1080	0.50	3.50	3E+03	5E+02	200	120	120
Oesophagus              	26	65.06	1	1.187	1040	0.50	3.50	9E+03	2E+03	255	160	0
Ovaries                 	27	50.47	1	1.290	1048	0.50	3.60	4E+04	7E+03	255	128	240
Pancreas                	28	59.68	1	1.038	1060	0.60	3.50	4E+04	7E+03	0	255	60
Pituitary gland         	29	59.68	1	1.038	1050	0.60	3.80	4E+04	7E+03	0	255	80
Prostate                	30	60.55	1	1.210	1045	0.50	3.80	4E+04	7E+03	0	255	100
Penis                   	31	41.41	1	0.867	1100	0.30	3.50	9E+03	2E+03	0	180	255
Muscle fat average      	32	30.25	1	0.497	1000	0.40	3.00	2E+03	4E+02	200	150	120
Salivary glands         	33	59.68	1	1.038	1040	0.60	3.10	4E+04	7E+03	0	255	124
Skin                    	34	43.75	1	0.856	1100	0.30	3.50	9E+03	2E+03	255	192	192
Small intestine contents	35	59.49	1	2.165	1030	0.60	3.60	0    	0    	160	80	0
Small intestine wall    	36	59.49	1	2.165	1030	0.60	4.20	5E+04	9E+03	255	190	0
Nerve                   	37	32.53	1	0.574	1080	0.50	3.70	4E+04	7E+03	0	255	120
