//                              Eps	Mu	Kap	Rho	K	Cap	Flw	Met	R	G	B
// Values to be set by VBA macro after import
Adrenal gland                   1	1	1	1	1	1	1	1	0	255	120
Air internal                    1	1	1	1	1	1	1	1	0	255	255
Artery                          1	1	1	1	1	1	1	1	255	0	0
Bile                            1	1	1	1	1	1	1	1	0	255	0
Bladder                         1	1	1	1	1	1	1	1	255	255	0
Blood vessel                    1	1	1	1	1	1	1	1	255	0	0
Body fluid                      1	1	1	1	1	1	1	1	128	128	255
Bone                            1	1	1	1	1	1	1	1	220	220	220
Bone cortical                   1	1	1	1	1	1	1	1	220	220	220
Bone medullary cavity           1	1	1	1	1	1	1	1	200	220	240
Bone spongiosa                  1	1	1	1	1	1	1	1	200	220	240
Brain grey matter               1	1	1	1	1	1	1	1	120	120	120
Brain white matter              1	1	1	1	1	1	1	1	240	240	240
Breast                          1	1	1	1	1	1	1	1	255	128	255
Bronchi                         1	1	1	1	1	1	1	1	0	255	120
Bronchi lumen                   1	1	1	1	1	1	1	1	0	255	255
Cartilage                       1	1	1	1	1	1	1	1	240	240	200
Cerebellum                      1	1	1	1	1	1	1	1	120	120	120
Cerebrospinal fluid             1	1	1	1	1	1	1	1	0	255	0
Cholecyst                       1	1	1	1	1	1	1	1	0	255	0
Colon                           1	1	1	1	1	1	1	1	180	90	0
Colon lumen                     1	1	1	1	1	1	1	1	180	120	0
Commissura anterior             1	1	1	1	1	1	1	1	240	240	240
Commissura posterior            1	1	1	1	1	1	1	1	240	240	240
Connective tissue               1	1	1	1	1	1	1	1	255	200	100
Cornea                          1	1	1	1	1	1	1	1	0	255	255
Cortical bone                   1	1	1	1	1	1	1	1	220	220	220
Diaphragm                       1	1	1	1	1	1	1	1	200	120	120
Duodenum                        1	1	1	1	1	1	1	1	255	160	0
Ear cartilage                   1	1	1	1	1	1	1	1	240	240	200
Ear skin                        1	1	1	1	1	1	1	1	255	192	192
Epididymis                      1	1	1	1	1	1	1	1	0	255	120
Esophagus                       1	1	1	1	1	1	1	1	255	160	0
Esophagus lumen                 1	1	1	1	1	1	1	1	0	255	255
Eye cornea                      1	1	1 	1	1	1	1	1	0	0	255
Eye sclera                      1	1	1	1	1	1	1	1	0	255	128
Eye lens                        1	1	1	1	1	1	1	1	0	255	255
Eye retina                      1	1	1	1	1	1	1	1	240	240	240
Eye bulb                        1	1	1	1	1	1	1	1	240	240	200
Eye vitreous humor              1	1	1	1	1	1	1	1	240	240	200
Fat                             1	1	1	1	1	1	1	1	255	200	100
Gallbladder                     1	1	1	1	1	1	1	1	0	255	0
Gland                           1	1	1	1	1	1	1	1	0	255	120
Heart                           1	1	1	1	1	1	1	1	220	0	0
Heart lumen                     1	1	1	1	1	1	1	1	255	0	0
Heart muscle                    1	1	1	1	1	1	1	1	200	120	120
Hippocampus                     1	1	1	1	1	1	1	1	120	200	120
Hypophysis                      1	1	1	1	1	1	1	1	0	255	120
Hypothalamus                    1	1	1	1	1	1	1	1	0	255	120
Intervertebral disc             1	1	1	1	1	1	1	1	240	240	200
Kidney                          1	1	1	1	1	1	1	1	128	0	255
Kidney cortex                   1	1	1	1	1	1	1	1	128	0	255
Kidney medulla                  1	1	1	1	1	1	1	1	128	80	255
Kidney pelvis                   1	1	1	1	1	1	1	1	90	60	255
Large intestine                 1	1	1	1	1	1	1	1	180	90	0
Large intestine lumen           1	1	1	1	1	1	1	1	180	120	0
Larynx                          1	1	1	1	1	1	1	1	240	240	200
Ligament                        1	1	1	1	1	1	1	1	255	255	100
Liver                           1	1	1	1	1	1	1	1	128	64	32
Lung                            1	1	1	1	1	1	1	1	64	192	255
Lung deflated                   1	1	1	1	1	1	1	1	64	192	255
Lymph node                      1	1	1	1	1	1	1	1	200	255	0
Lymphatic nodes                 1	1	1	1	1	1	1	1	200	255	0
Mandible                        1	1	1	1	1	1	1	1	220	220	220
Marrow                          1	1	1	1	1	1	1	1	240	220	200
Marrow red                      1	1	1	1	1	1	1	1	240	220	200
Marrow yellow                   1	1	1	1	1	1	1	1	240	220	200
Medulla oblongata               1	1	1	1	1	1	1	1	120	200	120
Meniscus                        1	1	1	1	1	1	1	1	240	240	200
Midbrain                        1	1	1	1	1	1	1	1	120	120	120
Mucosa                          1	1	1	1	1	1	1	1	120	180	0
Muscle                          1	1	1	1	1	1	1	1	200	120	120
Nail                            1	1	1	1	1	1	1	1	240	200	200
Nerve                           1	1	1	1	1	1	1	1	240	240	240
Ovary                           1	1	1	1	1	1	1	1	255	128	255
Pancreas                        1	1	1	1	1	1	1	1	0	255	120
Penis                           1	1	1	1	1	1	1	1	0	180	255
Pharynx                         1	1	1	1	1	1	1	1	0	255	255
Pineal body                     1	1	1	1	1	1	1	1	0	255	120
Pinealbody                      1	1	1	1	1	1	1	1	0	255	120
Pons                            1	1	1	1	1	1	1	1	120	200	120
Prostate                        1	1	1	1	1	1	1	1	0	255	120
Red bone marrow                 1	1	1	1	1	1	1	1	240	220	200
SAT                             1	1	1	1	1	1	1	1	255	200	100
Skin                            1	1	1	1	1	1	1	1	255	192	192
Skull                           1	1	1	1	1	1	1	1	220	220	220
Small intestine                 1	1	1	1	1	1	1	1	255	190	0
Small intestine lumen           1	1	1	1	1	1	1	1	160	80	0
Spinal cord                     1	1	1	1	1	1	1	1	240	240	240
Spleen                          1	1	1	1	1	1	1	1	160	240	200
Spongy bone                     1	1	1	1	1	1	1	1	200	220	240
Stomach                         1	1	1	1	1	1	1	1	255	128	0
Stomach lumen                   1	1	1	1	1	1	1	1	180	90	0
Teeth                           1	1	1	1	1	1	1	1	220	220	220
Tendon                          1	1	1	1	1	1	1	1	255	255	50
Tendon Ligament                 1	1	1	1	1	1	1	1	255	255	50
Testis                          1	1	1	1	1	1	1	1	0	255	220
Thalamus                        1	1	1	1	1	1	1	1	120	200	120
Thymus                          1	1	1	1	1	1	1	1	180	255	0
Thyroid                         1	1	1	1	1	1	1	1	0	255	120
Thyroid gland                   1	1	1	1	1	1	1	1	0	255	120
Tongue                          1	1	1	1	1	1	1	1	200	120	120
Trachea                         1	1	1	1	1	1	1	1	0	255	120
Trachea lumen                   1	1	1	1	1	1	1	1	0	255	255
Ureter                          1	1	1	1	1	1	1	1	0	255	120
Urethra                         1	1	1	1	1	1	1	1	0	255	120
Ureter Urethra                  1	1	1	1	1	1	1	1	0	255	120
Uterus                          1	1	1	1	1	1	1	1	255	120	120
Vagina                          1	1	1	1	1	1	1	1	255	100	255
Vein                            1	1	1	1	1	1	1	1	255	0	0
Vessel                          1	1	1	1	1	1	1	1	255	0	0
Vertebrae                       1	1	1	1	1	1	1	1	220	220	220
Yellow bone marrow              1	1	1	1	1	1	1	1	240	220	200
Calcaneus left                  1	1	1	1	1	1	1	1	220	220	220
Calcaneus right                 1	1	1	1	1	1	1	1	220	220	220
Calcaneus marrow left           1	1	1	1	1	1	1	1	200	220	240
Calcaneus marrow right          1	1	1	1	1	1	1	1	200	220	240
Capitatum left                  1	1	1	1	1	1	1	1	220	220	220
Capitatum right                 1	1	1	1	1	1	1	1	220	220	220
Capitatum marrow right          1	1	1	1	1	1	1	1	200	220	240
Capitatum marrow right          1	1	1	1	1	1	1	1	200	220	240
Distalis I left                 1	1	1	1	1	1	1	1	220	220	220
Distalis I right                1	1	1	1	1	1	1	1	220	220	220
Distalis II left                1	1	1	1	1	1	1	1	220	220	220
Distalis II right               1	1	1	1	1	1	1	1	220	220	220
Distalis III left               1	1	1	1	1	1	1	1	220	220	220
Distalis III right              1	1	1	1	1	1	1	1	220	220	220
Distalis IV left                1	1	1	1	1	1	1	1	220	220	220
Distalis IV right               1	1	1	1	1	1	1	1	220	220	220
Distalis V left                 1	1	1	1	1	1	1	1	220	220	220
Distalis V right                1	1	1	1	1	1	1	1	220	220	220
Femur left                      1	1	1	1	1	1	1	1	220	220	220
Femur right                     1	1	1	1	1	1	1	1	220	220	220
Femur marrow left               1	1	1	1	1	1	1	1	200	220	240
